City,State,Type,Population [2011],Popuation [2001],Rate For 10 Years(%),Rate for 1 Year(%),Rate for 1 Month(%),New Population for 2021,Population Estimated for 2021,Growth Rate till 2020,New Population till 2020,Population Estimated for 2020,Growth Rate till 2020,New Population till 2019,Population Estimated for 2019,Rate For Jan to Aug(%),New Population for 2020 Aug,Population Estimated for 2020 Till Aug
Mumbai,Maharashtra,MC,"1,24,42,373","1,19,78,450",3.872980227,0.387298023,0.032274835,481890,12924263,3.485682207,433701,12876074,3.098384184,385512,12827885,0.25819868,32126,12860011
Delhi,Delhi,MC,"1,10,07,835","98,79,172",11.42467203,1.142467203,0.0952056,1257609,12265444,10.28220483,1131848,12139683,9.139737624,1006087,12013922,0.7616448,83840,12097762
Bangalore,Karnataka,MPUA,"84,36,675","43,01,326",96.1412597,9.61412597,0.801177164,8111125,16547800,86.52713373,7300013,15736688,76.91300776,6488900,14925575,6.409417312,540741,15466316
Hyderabad,Telangana,MPUA,"68,09,970","36,37,483",87.21654507,8.721654507,0.726804542,5939420,12749390,78.49489056,5345478,12155448,69.77323606,4751536,11561506,5.814436336,395961,11957467
Ahmedabad,Gujarat,MPUA,"55,70,585","35,20,085",58.25143427,5.825143427,0.485428619,3244945,8815530,52.42629084,2920451,8491036,46.60114742,2595956,8166541,3.883428952,216329,8382870
Chennai,Tamil Nadu,MPUA,"46,81,087","43,43,645",7.768636709,0.776863671,0.064738639,363656,5044743,6.991773039,327290,5008377,6.214909368,290925,4972012,0.517909112,24243,4996255
Chennai,Tamil nadu,T,"46,46,732","36,64,856",26.79166658,2.679166658,0.223263888,1244936,5891668,24.11249992,1120443,5767175,21.43333326,995949,5642681,1.786111104,82995,5725676
Kolkata,West Bengal,MPUA,"44,86,679","45,72,876",-1.884962549,-0.188496255,-0.015708021,-84572,4402106,-1.696466295,-76114,4410564,-1.50797004,-67657,4419022,-0.125664168,-5638,4413384
Surat,Gujarat,MPUA,"44,67,797","24,33,835",83.57025024,8.357025024,0.696418752,3733749,8201546,75.21322522,3360374,7828171,66.85620019,2986999,7454796,5.571350016,248916,7703712
Pune,Maharashtra,MPUA,"31,24,458","25,38,473",23.08415335,2.308415335,0.192367945,721254,3845712,20.77573802,649129,3773587,18.46732268,577003,3701461,1.53894356,48083,3749544
Jaipur,Rajasthan,MPUA,"30,46,163","23,22,575",31.15455906,3.115455906,0.259621326,949018,3995181,28.03910315,854116,3900279,24.92364725,759214,3805377,2.076970608,63267,3868644
Lucknow,Uttar Pradesh,MPUA,"28,17,105","21,85,927",28.87461475,2.887461475,0.24062179,813428,3630533,25.98715328,732085,3549190,23.0996918,650742,3467847,1.92497432,54228,3522075
Indore,Madhya Pradesh,M,"28,00,000","21,69,200",29.0798451,2.90798451,0.242332043,814235,3614235,26.17186059,732812,3532812,23.26387608,651388,3451388,1.938656344,54282,3505670
Kanpur,Uttar Pradesh,MPUA,"27,65,348","25,51,337",8.388190192,0.838819019,0.069901585,231962,2997310,7.549371171,208766,2974114,6.710552152,185570,2950918,0.55921268,15464,2966382
Nagpur,Maharashtra,MPUA,"24,05,665","20,52,066",17.23136585,1.723136585,0.143594715,414528,2820193,15.50822927,373076,2778741,13.78509268,331623,2737288,1.14875772,27635,2764923
Indore,Madhya Pradesh,MPUA,"19,64,086","14,74,968",33.1612618,3.31612618,0.276343848,651315,2615401,29.84513562,586184,2550270,26.52900944,521052,2485138,2.210750784,43421,2528559
Thane,Maharashtra,MPUA,"18,41,488","12,62,551",45.8545437,4.58545437,0.382121198,844405,2685893,41.26908933,759965,2601453,36.68363496,675524,2517012,3.056969584,56293,2573305
Bhopal,Madhya Pradesh,MPUA,"17,98,218","14,37,354",25.10613252,2.510613252,0.209217771,451462,2249680,22.59551927,406316,2204534,20.08490602,361170,2159388,1.673742168,30097,2189485
