City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases,Rate For 10 Years(%)
Mumbai,Maharashtra,M.C,"1,24,42,373","1,19,78,450",878,23,32,MEDIUM,219,150,0.700439537,10924403,159,4408916,163115,3.872980227
Delhi,Delhi,M.C,"1,10,07,835","98,79,172",858,27,30,MEDIUM,215,196,0.920018232,9444722,148,2379169,80188,11.42467203
Bangalore,Karnataka,MPUA,"84,36,675","43,01,326",936,28,37,HIGH,212,102,0.097085251,7896728,123,636502,141000,96.1412597
Hyderabad,Telangana,MPUA,"68,09,970","36,37,483",930,23,31,MEDIUM,217,118,0.827744292,6333272,110,126078,55123,87.21654507
Ahmedabad,Gujarat,MPUA,"55,70,585","35,20,085",852,29,25,LOW,227,109,0.847941394,4746138,73,284973,33204,58.25143427
Chennai,Tamil Nadu,MPUA,"46,81,087","43,43,645",904,26,31,HIGH,210,179,0.536995001,4231703,67,4684707,145606,7.768636709
Chennai,Tamil nadu,T,"46,46,732","36,64,856",912,26,30,MEDIUM,145,177,0.093450729,4237820,55,4684707,145606,26.79166658
Kolkata,West Bengal,MPUA,"44,86,679","45,72,876",945,26,37,,,,0.473584664,4239912,82,1489500,44957,-1.884962549
Surat,Gujarat,MPUA,"44,67,797","24,33,835",,27,26,,,,0.809333658,3797627,98,284973,23432,83.57025024
Pune,Maharashtra,MPUA,"31,24,458","25,38,473",,29,29,,,,0.445902445,2743274,50,4408916,218502,23.08415335
Jaipur,Rajasthan,MPUA,"30,46,163","23,22,575",871,26,32,HIGH,128,172,0.889894941,2653208,61,1475311,14001,31.15455906
Lucknow,Uttar Pradesh,MPUA,"28,17,105","21,85,927",882,24,33,HIGH,123,176,0.4647456,2484687,58,3104060,37220,28.87461475
Indore,Madhya Pradesh,M,"28,00,000","21,69,200",919,25,34,LOW,116,142,0.815465762,2573200,56,421365,15764,29.0798451
Kanpur,Uttar Pradesh,MPUA,"27,65,348","25,51,337",861,26,29,HIGH,135,122,0.053146962,2380965,94,3104060,22413,8.388190192
Nagpur,Maharashtra,MPUA,"24,05,665","20,52,066",878,,35,MEDIUM,100,136,0.01073014,2112174,52,4408916,44700,17.23136585
Indore,Madhya Pradesh,MPUA,"19,64,086","14,74,968",929,,37,MEDIUM,149,172,0.88434448,1824636,76,421365,15764,33.1612618
Thane,Maharashtra,MPUA,"18,41,488","12,62,551",878,,32,LOW,119,199,0.727836011,1616826,90,4408916,150793,45.8545437
Bhopal,Madhya Pradesh,MPUA,"17,98,218","14,37,354",926,,35,LOW,113,185,0.333171309,1665150,72,421365,12446,25.10613252
Visakhapatnam,Andhra Pradesh,MPUA,"17,28,128","9,82,904",891,,26,HIGH,119,125,0.64150105,1539762,51,237854,21374,75.81859469
Pimpri-Chinchwad,Maharashtra,MPUA,"17,27,692","10,12,472",872,,36,HIGH,108,195,0.438329658,1506547,93,4408916,24402,70.64096587
Patna,Bihar,MPUA,"16,84,222","13,66,444",925,,34,LOW,142,117,0.377561852,1557905,62,923737,23610,23.25583778
Vadodara,Gujarat,MPUA,"16,70,806","13,06,227",840,,29,LOW,112,156,0.263219465,1403477,91,284973,9439,27.91084551
Ghaziabad,Uttar Pradesh,MPUA,"16,48,643","9,68,256",872,,36,MEDIUM,122,155,0.852212709,1437617,72,3104060,10219,70.2693296
Ludhiana,Punjab,MPUA,"16,18,879","13,98,467",869,25,28,HIGH,131,180,0.556510055,1406806,73,242367,12847,15.76097255
Agra,Uttar Pradesh,MPUA,"15,85,704","12,75,134",875,25,34,LOW,124,115,0.152533877,1387491,99,3104060,3834,24.35587162
Nashik,Maharashtra,MPUA,"14,86,053","10,77,236",872,23,36,HIGH,122,170,0.17258441,1295838,66,4408916,50341,37.95055123
Ranchi,Jharkhand,MPUA,"14,56,528","10,79,968",895,29,29,MEDIUM,144,134,0.54150706,1303593,59,167785,12365,34.86769978
Faridabad,Haryana,MPUA,"14,14,050","10,55,938",842,27,32,LOW,127,200,0.326206428,1190630,59,303118,15003,33.91411238
Meerut,Uttar Pradesh,MPUA,"13,05,429","10,39,405",889,29,25,HIGH,100,,,,,,6092,25.59387342
Rajkot,Gujarat,MPUA,"12,86,678","9,67,476",848,23,28,HIGH,129,,,,,,6250,32.99327322
Kalyan-Dombivli,Maharashtra,MPUA,"12,47,327","11,93,512",871,23,38,LOW,144,,,,,,20018,4.508961787
Vasai-Virar,Maharashtra,MPUA,"12,22,390","6,93,350",876,23,33,HIGH,140,,,,,,20133,76.30201197
Varanasi,Uttar Pradesh,MPUA,"12,01,815","10,91,918",861,25,36,MEDIUM,121,,,,,,10287,10.0645836
Srinagar,Jammu and Kashmir,MPUA,"11,80,570","8,98,440",905,23,15,LOW,115,,,,,,11243,31.40220827
Aurangabad,Maharashtra,MPUA,"11,75,116","8,73,311",887,26,40,HIGH,139,,,,,,3201,34.55870818
Dhanbad,Jharkhand,MPUA,"11,62,472","10,65,327",910,28,38,LOW,145,,,,,,3702,9.118796388
Amritsar,Punjab,MPUA,"11,32,383","9,66,862",869,24,34,LOW,111,129,0.14169585,984041,62,242367,5840,17.11940277
Navi Mumbai,Maharashtra,MPUA,"11,20,547","7,04,002",880,26,36,LOW,114,163,0.399270809,986081,87,4408916,22861,59.16815577
Allahabad,Uttar Pradesh,MPUA,"11,12,544","9,75,393",876,28,26,HIGH,150,118,0.944010539,974589,75,3104060,24507,14.06110153
Howrah,West Bengal,MPUA,"10,77,075","10,07,532",954,23,39,LOW,117,114,0.73123365,1027530,54,1489500,14726,6.902311788
Gwalior,Madhya Pradesh,MPUA,"10,69,276","8,27,026",925,28,39,LOW,116,197,0.961352237,989080,68,421365,7089,29.29170304
Jabalpur,Madhya Pradesh,MPUA,"10,55,525","9,32,484",920,29,27,LOW,138,106,0.005168424,971083,74,421365,5683,13.19497171
Coimbatore,Tamil Nadu,MPUA,"10,50,721","9,30,882",917,28,34,HIGH,124,156,0.502560127,963511,69,4684707,20839,12.87370472
Vijayawada,Andhra Pradesh,MPUA,"10,34,358","8,51,282",914,23,37,LOW,104,117,0.622070603,945403,65,237854,21005,21.50591696
Jodhpur,Rajasthan,MPUA,"10,33,918","8,51,051",873,24,27,MEDIUM,124,174,0.592847814,902610,76,1475311,14249,21.48719642
Chandigarh,Chandigarh,MPUA,"10,28,667","8,08,515",818,25,30,LOW,147,126,0.055718449,841450,56,29538,7292,27.22917942
Madurai,Tamil Nadu,MPUA,"10,24,345","9,28,869",901,25,32,LOW,131,119,0.695843371,917096,89,4684707,15118,10.27873683
Raipur,Chhattisgarh,MPUA,"10,17,206","6,05,747",970,29,29,MEDIUM,113,200,0.752301306,979784,60,6394,19525,67.92588325
Guwahati,Assam,C-1T,"10,17,030","8,09,895",887,29,5,LOW,102,141,0.168740872,849171,50,24720,10280,25.57553757
Solapur,Maharashtra,C-1T,"10,00,461","8,72,478",873,25,26,HIGH,146,189,0.628417717,830710,96,4408916,25127,14.66890856
Hubli–Dharwad,Karnataka,C-1T,"9,84,562","7,86,195",940,29,32,MEDIUM,117,153,0.675203936,887161,86,636502,10895,25.23127214
Mysore,Karnataka,C-1T,"9,56,458","7,62,408",924,27,37,MEDIUM,149,147,0.9991392,850588,52,636502,9971,25.45225129
Tiruchirappalli,Tamil Nadu,C-1T,"9,14,672","7,52,066",915,27,30,MEDIUM,141,155,0.601828658,838757,51,4684707,8540,21.62124069
Bareilly,Uttar Pradesh,C-1T,"9,02,348","7,18,395",880,25,39,HIGH,116,192,0.133169727,790387,61,3104060,8139,25.60610806
Aurangabad,Maharashtra,M.Cl,"8,92,483","7,66,542",877,28,30,MEDIUM,123,149,0.18161671,782708,63,4408916,3201,16.42975858
Aligarh,Uttar Pradesh,C-1T,"8,89,810","6,72,315",881,24,36,HIGH,144,123,0.534603992,783923,80,3104060,6031,32.35016324
Tiruppur,Tamil Nadu,C-1T,"8,77,778","3,44,543",913,28,,HIGH,113,,,,86,4684707,4066,154.7658783
Gurgaon,Haryana,C-1T,"8,76,824","1,73,542",823,29,,LOW,149,,,,63,303118,9537,405.2517546
Moradabad,Uttar Pradesh,C-1T,"8,72,575","6,69,087",883,28,,HIGH,132,,,,55,3104060,6480,30.41278638
Jalandhar,Punjab,C-1T,"8,62,196","7,06,043",884,25,,MEDIUM,146,,,,87,242367,8783,22.11664162
Bhubaneswar,Odisha,C-1T,"8,37,737","6,48,032",946,28,,MEDIUM,148,,,,74,66971,10586,29.27401733
Salem,Tamil Nadu,C-1T,"8,31,038","6,96,760",906,23,27,HIGH,128,,,,61,4684707,13590,19.2717722
Warangal,Telangana,C-1T,"8,30,281","5,30,636",929,24,39,LOW,147,,,,74,126078,8911,56.46902962
Mira-Bhayandar,Maharashtra,C-1T,"8,14,655","5,20,388",880,24,26,LOW,116,,,,70,4408916,8440,56.54761447
Jalgaon,Maharashtra,C-1T,"7,98,514","4,62,280",882,27,33,LOW,147,,,,54,4408916,34227,72.73384096
Kota,Rajasthan,C-1T,"7,43,556","5,94,316",853,29,25,MEDIUM,132,,,,56,1475311,7067,25.11122029
Guntur,Andhra Pradesh,C-1T,"7,43,354","5,14,461",915,28,34,MEDIUM,108,,,,56,237854,10239,44.49180793
Bhiwandi,Maharashtra,C-1T,"7,11,329","5,98,741",869,29,40,MEDIUM,112,,,,63,4408916,10071,18.80412399
